code,name,fund_type,规模(亿),window,strategy,annualized_return_pct,max_drawdown_pct,sharpe_ratio,win_rate_pct,total_return_pct,vs_lump_sum_pct,score
014777,富国中证芯片产业ETF发起式联接C,指数型-股票,2.89,0.5y,价值平均法,99.76,14.57,2.562,80.0,41.34,-11.35,49.56
019228,方正富邦金立方一年持有期混合E,混合型-偏股,5.33,0.5y,价值平均法,86.99,7.5,2.812,100.0,36.74,-3.08,49.49
561600,消费电子ETF平安,指数型-股票,2.33,0.5y,价值平均法,97.46,12.38,2.555,80.0,40.52,-6.36,49.44
011301,易方达智造优势混合C,混合型-偏股,15.69,0.5y,价值平均法,89.02,10.02,3.413,100.0,37.48,-20.37,49.43
001702,东方创新科技混合,混合型-灵活,7.12,0.5y,价值平均法,92.73,13.18,3.114,100.0,38.83,-22.51,49.4
340006,兴全全球视野股票,股票型,18.09,0.5y,价值平均法,86.35,9.81,3.856,100.0,36.51,-22.94,49.33
159695,通信ETF嘉实,指数型-股票,4.37,0.5y,价值平均法,92.14,8.82,3.209,100.0,38.61,-30.36,49.32
013006,摩根景气甄选混合A,混合型-偏股,13.11,0.5y,价值平均法,92.9,9.42,3.233,80.0,38.89,-12.65,49.31
015690,富国中小盘精选混合C,混合型-偏股,14.85,0.5y,价值平均法,88.51,6.71,3.013,100.0,37.3,-18.58,49.29
001216,易方达新收益混合A,混合型-灵活,19.64,0.5y,价值平均法,92.48,16.12,2.951,100.0,38.74,-16.2,49.27
012082,博时数字经济混合A,混合型-偏股,7.15,0.5y,价值平均法,92.8,12.92,2.902,100.0,38.85,-19.35,49.24
001217,易方达新收益混合C,混合型-灵活,4.83,0.5y,价值平均法,92.25,16.13,2.944,100.0,38.65,-16.12,49.18
012608,信澳领先智选混合,混合型-偏股,17.1,0.5y,价值平均法,95.95,12.53,2.997,80.0,39.98,-14.33,49.17
210008,金鹰策略配置混合,混合型-偏股,2.69,0.5y,价值平均法,93.8,12.81,2.58,100.0,39.21,-15.89,49.16
165516,中信保诚周期轮动混合(LOF)A,混合型-偏股,6.03,0.5y,价值平均法,88.58,10.8,3.246,100.0,37.32,-16.64,49.09
010106,华夏核心科技6个月定开混合A,混合型-偏股,3.91,0.5y,价值平均法,96.43,10.45,2.525,80.0,40.15,-8.32,49.08
159583,通信ETF富国,指数型-股票,14.62,0.5y,价值平均法,93.74,8.91,3.072,100.0,39.19,-35.26,49.07
012083,博时数字经济混合C,混合型-偏股,2.74,0.5y,价值平均法,92.34,12.94,2.891,100.0,38.69,-19.2,49.05
377240,摩根新兴动力混合A,混合型-偏股,81.13,0.5y,价值平均法,90.78,5.7,2.78,80.0,38.12,-8.61,49.04
005268,鹏华优势企业,股票型,4.57,0.5y,价值平均法,90.15,12.67,2.748,100.0,37.89,-8.83,48.96
010236,广发电子信息传媒股票C,股票型,14.87,0.5y,价值平均法,98.75,13.12,2.922,80.0,40.98,-24.11,48.96
519005,海富通股票混合,混合型-偏股,20.18,0.5y,价值平均法,99.02,12.99,2.359,80.0,41.08,-11.33,48.95
014639,兴全合衡三年持有混合A,混合型-偏股,23.59,0.5y,价值平均法,87.28,5.52,3.039,80.0,36.85,-4.52,48.86
011805,嘉实优质核心两年持有混合A,混合型-偏股,5.13,0.5y,价值平均法,96.51,11.62,2.69,80.0,40.18,-13.74,48.79
014642,摩根新兴动力混合C,混合型-偏股,24.65,0.5y,价值平均法,90.21,5.71,2.763,80.0,37.92,-8.45,48.79
013446,东财中证芯片ETF发起式联接C,指数型-股票,2.04,0.5y,价值平均法,97.24,14.26,2.559,80.0,40.44,-11.36,48.66
006555,浦银安盛全球智能科技(QDII)A,QDII-普通股票,10.73,0.5y,价值平均法,91.18,11.59,2.549,100.0,38.27,-12.09,48.65
018897,易方达消费电子ETF联接C,指数型-股票,3.29,0.5y,价值平均法,94.63,11.67,2.624,80.0,39.51,-6.59,48.64
000263,工银信息产业混合A,混合型-偏股,9.48,0.5y,价值平均法,84.42,7.0,3.206,100.0,35.8,-15.07,48.47
110002,易方达策略成长混合,混合型-偏股,11.8,0.5y,价值平均法,90.36,13.14,2.943,100.0,37.97,-19.0,48.46
001822,华商智能生活灵活配置混合A,混合型-灵活,2.33,0.5y,价值平均法,96.22,9.79,2.668,80.0,40.08,-21.84,48.13
009511,信澳研究优选混合A,混合型-偏股,5.74,0.5y,价值平均法,93.25,12.94,3.008,80.0,39.02,-15.33,48.07
007475,华夏创业板成长ETF联接C,指数型-股票,3.11,0.5y,价值平均法,91.1,6.33,2.574,80.0,38.24,-11.59,48.04
